index	*ID	version	enabled	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Gravenspine	12	0	1			0	1	27	14	p13	Bone Wand		5	5000	cgrn							sock		2	2	tinkerflag2		25	35	str		10	10	dex		10	10	cold-min		4	4	cold-max		8	8	cold-len		75	75	manasteal		5	5	nec		2	2	mana		25	50										0
Umes Lament	13	0	1			0	1	38	23	p14	Grim Wand		5	5000	lblu	lblu						sock		2	2	tinkerflag2		25	35	nec		2	2	mana		40	40	cast2		20	20	howl		64	64	skill	Terror	3	3	skill	Decrepify	2	2																		0
Felloak	14	0	1			0	1	4	2	p15	Club		5	5000	lgry							sock		2	2	tinkerflag2		25	35	res-ltng		60	60	res-fire		20	20	knock		1	1	fire-min		6	6	fire-max		8	8	dmg%		70	80																		0
Knell Striker	15	0	1			0	1	7	3	p16	Scepter		5	5000	dred	dred						sock		2	2	tinkerflag2		25	35	crush		25	25	res-fire		20	20	res-pois		20	20	mana		15	15	att		35	35	dmg%		70	80																		0
Rusthandle	16	0	1			0	1	23	11	p17	Grand Scepter		5	5000	lgld	lgld						sock		2	2	tinkerflag2		25	35	pal		1	1	dmg-norm		3	7	red-mag		1	1	lifesteal		8	8	dmg%		50	60	dmg-undead		50	60	skill	Vengeance	1	3	skill	Thorns	3	3										0
Stormeye	17	0	1			0	1	31	16	p18	War Scepter		5	5000	cred	cred						sock		2	2	tinkerflag2		25	35	dmg-ltng		1	6	dmg-cold	75	3	5	regen		10	10	dmg%		80	120	skill	Resist Lightning	3	5	skill	Holy Shock	3	3	skill	Fist of the Heavens	1	1														0
Stoutnail	18	0	1			0	1	7	3	p19	Spiked Club		5	5000	dgry							sock		2	2	tinkerflag2		25	35	thorns		3	10	dmg%		100	100	vit		7	7	red-mag		2	2																										0
Crushflange	19	0	1			0	1	12	6	p20	Mace		5	5000	blac	blac						sock		2	2	tinkerflag2		25	35	str		15	15	knock		1	1	light		2	2	res-fire		50	50	dmg%		50	60	crush		33	33																		0
Bloodrise	20	0	1			0	1	20	10	p21	Morning Star		5	5000	lblu							sock		2	2	tinkerflag2		25	35	dmg%		120	120	att%		50	50	openwounds		25	25	light		2	2	swing1		10	10	skill	Sacrifice	3	3	lifesteal		5	5														0
The Generals Tan Do Li Ga	21	0	1			0	1	28	14	p22	Flail		5	5000	dblu	dblu						sock		2	2	tinkerflag2		25	35	dmg-min		1	1	dmg-max		20	20	slow		50	50	ac		25	25	manasteal		5	5	dmg%		50	60	swing2		20	20														0
Ironstone	22	0	1			0	1	36	18	p23	War Hammer		5	5000	cblu	cblu						sock		2	2	tinkerflag2		25	35	att		100	150	dmg%		100	150	ltng-min		1	1	ltng-max		10	10	str		10	10	*enr		-5	-5																		0
Bonesob	23	0	1			0	1	32	16	p24	Maul		5	5000	lred							sock		2	2	tinkerflag2		25	35	dmg%		200	300	crush		40	40	res-fire		30	30	res-cold		30	30	dmg-undead		50	50																						0
Steeldriver	24	0	1			0	1	39	20	p25	Great Maul		5	5000	cgrn	cgrn						sock		2	2	tinkerflag2		25	35	ease		-50	-50	swing3		40	40	regen-stam		25	25	dmg%		150	250																										0
Rixots Keen	25	0	1			0	1	3	1	p26	Short Sword		5	5000	blac	blac						sock		2	2	tinkerflag2		25	35	dmg-min		5	5	att%		20	20	light		2	2	crush		25	25	ac		25	25	dmg%		100	100																		0
Blood Crescent	26	0	1			0	1	10	4	p27	Scimitar		5	5000	lblu							sock		2	2	tinkerflag2		25	35	res-all		15	15	dmg%		60	80	hp		15	15	light		4	4	openwounds		33	33	swing2		15	15	lifesteal		15	15														0
Krintizs Skewer	27	0	1			0	1	14	7	p28	Saber		5	5000	cblu							sock		2	2	tinkerflag2		25	35	ignore-ac		1	1	str		10	10	dex		10	10	manasteal		7	7	dmg%		50	50	dmg-norm		3	7																		0
Gleamscythe	28	0	1			0	1	18	9	p29	Falchion		5	5000	lred							sock		2	2	tinkerflag2		25	35	light		3	3	mana		30	30	ac		20	20	swing2		20	20	dmg%		60	100	dmg-cold	50	3	5																		0
Azurewrath_old	29	0	1			0	1	18	9	p30	Crystal Sword		5	5000	lgry							sock		2	2	tinkerflag2		25	35	deadly		50	50	mag%		10	10	dmg-cold	100	3	6	dmg%		100	100	dur		25	25	dmg-mag		5	10																		0
Griswolds Edge	30	0	1			0	1	23	11	p31	Broad Sword		5	5000	cred							sock		2	2	tinkerflag2		25	35	fire-min		10	12	fire-max		15	25	att		100	100	swing1		10	10	knock		1	1	dmg%		80	120	str		12	12														0
Hellplague	31	0	1			0	1	30	15	p32	Long Sword		5	5000	dred							sock		2	2	tinkerflag2		25	35	manasteal		5	5	lifesteal		5	5	pois-min		48	48	pois-max		96	96	pois-len		150	150	dmg%		70	80	dmg-fire		25	75	fireskill		2	2										0
Culwens Point	32	0	1			0	1	39	20	p33	War Sword		5	5000	whit	whit						sock		2	2	tinkerflag2		25	35	allskills		1	1	res-pois-len		50	50	balance2		20	20	swing2		20	20	att		60	60	dmg%		70	80																		0
Shadowfang	33	0	1			0	1	16	8	p34	Two-Handed Sword		5	5000	cgrn							sock		2	2	tinkerflag2		25	35	manasteal		9	9	res-cold		20	20	light		-2	-2	dmg-cold	150	10	30	dmg%		100	100	lifesteal		9	9																		0
Soulflay	34	0	1			0	1	26	13	p35	Claymore		5	5000	dgrn	dgrn						sock		2	2	tinkerflag2		25	35	manasteal		4	10	lifesteal		4	4	dmg%		70	100	res-all		5	5	swing2		10	10																						0
Kinemils Awl	35	0	1			0	1	31	16	p36	Giant Sword		5	5000	dblu							sock		2	2	tinkerflag2		25	35	att		100	150	mana		20	20	fire-min		6	6	fire-max		20	40	dmg%		80	100	skill	Holy Fire	6	6																		0
Blacktongue	36	0	1			0	1	35	18	p37	Bastard Sword		5	5000	lgrn							sock		2	2	tinkerflag2		25	35	dmg-pois	150	192	192	noheal		1	1	att		50	50	res-pois		50	50	dmg%		50	60	*hp		-10	-10																		0
Ripsaw	37	0	1			0	1	35	18	p38	Flamberge		5	5000	cblu	cblu						sock		2	2	tinkerflag2		25	35	openwounds		80	80	dmg-max		15	15	manasteal		6	6	dmg%		80	100																										0
The Patriarch	38	0	1			0	1	39	20	p39	Great Sword		5	5000	cred							sock		2	2	tinkerflag2		25	35	red-dmg		3	3	red-mag		3	3	stupidity		1	1	gold%		100	100	dmg%		100	120	str		10	10																		0
Gull	39	0	1			0	1	6	4	p40	Dagger		5	5000	lgry	lgry						sock		2	2	tinkerflag2		25	35	dmg-min		1	1	dmg-max		15	15	mag%		100	100	mana		-5	-5							0	0																		0
The Diggler	40	0	1			0	1	15	7	p41	Dirk		5	5000	dgry	dgry						sock		2	2	tinkerflag2		25	35	dex		10	10	dmg%		50	50	swing3		30	30	res-cold		25	25	res-fire		25	25	ignore-ac		1	1																		0
The Jade Tan Do	41	0	1			0	1	26	13	p42	Kris		5	5000	oran							sock		2	2	tinkerflag2		25	35	att		100	150	nofreeze		1	1	dmg-pois	100	460	460	res-pois		95	95	res-pois-max		20	20																						0
Irices Shard	42	0	1			0	1	34	17	p43	Blade		5	5000	dblu	dblu						sock		2	2	tinkerflag2		25	35	cast3		50	50	mana		50	50	att		55	55	res-all		10	10																										0
The Dragon Chang	43	0	1			0	1	11	5	p44	Spear		5	5000	dpur	dpur						sock		2	2	tinkerflag2		25	35	att		35	35	dmg-min		10	10	light		2	2	dmg-undead		100	100	dmg-fire		3	6																						0
Razortine	44	0	1			0	1	16	8	p45	Trident		5	5000	oran							sock		2	2	tinkerflag2		25	35	slow		25	25	reduce-ac		50	50	str		15	15	dex		8	8	swing2		30	30	dmg%		30	50																		0
Bloodthief	45	0	1			0	1	23	11	p46	Brandistock		5	5000	whit	whit						sock		2	2	tinkerflag2		25	35	openwounds		35	35	str		10	10	lifesteal		8	12	hp		26	26	dmg%		50	70																						0
Lance of Yaggai	46	0	1			0	1	30	15	p47	Spetum		5	5000	lred	lred						sock		2	2	tinkerflag2		25	35	thorns		8	8	ltng-min		1	1	ltng-max		60	60	res-all		15	15	swing2		40	40																						0
The Tannr Gorerod	47	0	1			0	1	36	18	p48	Pike		5	5000	lgry	lgry						sock		2	2	tinkerflag2		25	35	fire-min		23	23	fire-max		54	54	res-fire-max		15	15	hp		30	30	att		60	60	light		3	3	res-fire		15	15	dmg%		80	100										0
Dimoaks Hew	48	0	1			0	1	11	5	p49	Bardiche		5	5000	blac	blac						sock		2	2	tinkerflag2		25	35	dex		15	15	dmg%		100	100	swing2		20	20	ac		-8	-8																										0
Steelgoad	49	0	1			0	1	19	9	p50	Voulge		5	5000	cgrn	cgrn						sock		2	2	tinkerflag2		25	35	howl		96	96	deadly		30	30	att		30	30	res-all		5	5	dmg%		60	80	dur		20	40																		0
Soul Harvest	50	0	1			0	1	26	13	p51	Scythe		5	5000	dgry							sock		2	2	tinkerflag2		25	35	openwounds		30	30	att		45	45	res-all		20	20	dmg%		50	90	manasteal		10	10	enr		5	5																		0
The Battlebranch	51	0	1			0	1	34	17	p52	Poleaxe		5	5000	lblu	lblu						sock		2	2	tinkerflag2		25	35	swing3		30	30	dex		10	10	dmg%		50	70	att		50	100	lifesteal		7	7																						0
Woestave	52	0	1			0	1	38	19	p53	Halberd		5	5000	dblu	dblu						sock		2	2	tinkerflag2		25	35	slow		50	50	openwounds		50	50	stupidity		3	3	dmg-ac		-50	-50	freeze		1	1	light		-3	-3	noheal		1	1	dmg%		20	40	*enr		-30	-30						0
The Grim Reaper	53	0	1			0	1	39	20	p54	War Scythe		5	5000	lpur	lpur						sock		2	2	tinkerflag2		25	35	deadly		100	100	noheal		1	1	manasteal		5	5	dmg%		20	20	dmg-min		15	15	*hp		-20	-20																		0
Bane Ash	54	0	1			0	1	7	3	p55	Short Staff		5	5000	lgrn	lgrn						sock		2	2	tinkerflag2		25	35	fire-min		4	4	fire-max		6	6	res-fire		50	50	mana		30	30	swing2		20	20	dmg%		50	60	skill	Fire Bolt	5	5	skill	Warmth	2	2										0
Serpent Lord	55	0	1			0	1	12	6	p56	Long Staff		5	5000	cgrn	cgrn						sock		2	2	tinkerflag2		25	35	dmg-pois	75	40	40	res-pois		50	50	light		-1	-1	mana		10	10	dmg%		30	40	manasteal		100	100	reduce-ac		50	50														0
Lazarus Spire	56	0	1			0	1	24	12	p57	Gnarled Staff		5	5000	lgry							sock		2	2	tinkerflag2		25	35	res-ltng		75	75	red-dmg		5	5	enr		15	15	skill	Chain Lightning	1	1	skill	Lightning	2	2	skill	Static Field	3	3	regen-mana		43	43	dmg-ltng		1	28	sor		1	1						0
The Salamander	57	0	1			0	1	28	14	p58	Battle Staff		5	5000	dred	dred						sock		2	2	tinkerflag2		25	35	dmg-fire		15	32	res-fire		30	30	skill	Fire Wall	1	1	skill	Fire Ball	2	2	skill	Warmth	3	3	fireskill		2	2																		0
The Iron Jang Bong	58	0	1			0	1	38	19	p59	War Staff		5	5000	dyel	dyel						sock		2	2	tinkerflag2		25	35	ac		30	30	cast3		20	20	dmg%		100	100	att%		50	50	skill	Blaze	2	2	skill	Nova	2	2	skill	Frost Nova	3	3	sor		2	2										0
Pluckeye	59	0	1			0	1	10	4	p60	Short Bow		5	5000	cblu	cblu						sock		2	2	tinkerflag2		25	35	att		28	28	dmg%		100	100	hp		10	10	light		2	2	manasteal		3	3	mana-kill		2	2																		0
Witherstring	60	0	1			0	1	18	9	p61	Hunter's Bow		5	5000	lred	lred						sock		2	2	tinkerflag2		25	35	swing3		30	30	dmg-min		1	1	dmg-max		3	3	att		50	50	magicarrow		3	3	dmg%		40	50																		0
Rimeraven	61	0	1			0	1	20	10	p62	Long Bow		5	5000	dred	dred						sock		2	2	tinkerflag2		25	35	att%		50	50	dex		3	3	explosivearrow		3	3	str		3	3	dmg%		60	70																						0
Piercerib	62	0	1			0	1	27	14	p63	Composite Bow		5	5000	cred							sock		2	2	tinkerflag2		25	35	res-all		10	10	deadly		30	30	att		60	60	dmg-undead		100	100	dmg%		40	60	swing2		50	50																		0
Pullspite	63	0	1			0	1	34	17	p64	Short Battle Bow		5	5000	lgrn							sock		2	2	tinkerflag2		25	35	dmg-ltng		1	30	str		8	8	att		28	28	pierce		25	25	res-ltng		25	25	dmg%		70	90																		0
Wizendraw	64	0	1			0	1	35	18	p65	Long Battle Bow		5	5000	dgrn	dgrn						sock		2	2	tinkerflag2		25	35	magicarrow		5	5	mana		30	30	swing2		20	20	res-cold		26	26	att		50	100	dmg%		70	80	enr		15	15	pierce-cold		20	35										0
Hellclap	65	0	1			0	1	36	18	p66	Short War Bow		5	5000	cgrn							sock		2	2	tinkerflag2		25	35	swing1		10	10	fire-min		15	15	fire-max		30	50	att		50	75	res-fire		40	40	dex		12	12	dmg%		70	90	fireskill		1	1										0
Blastbark	66	0	1			0	1	38	19	p67	Long War Bow		5	5000	lyel	lyel						sock		2	2	tinkerflag2		25	35	dmg%		70	130	str		5	5	ama		1	1	manasteal		3	3	skill	Exploding Arrow	2	2																						0
Leadcrow	67	0	1			0	1	12	6	p68	Light Crossbow		5	5000	dyel							sock		2	2	tinkerflag2		25	35	dex		10	10	hp		10	10	dmg%		70	70	res-pois		30	30	deadly		25	25	att		40	40																		0
Ichorsting	68	0	1			0	1	24	12	p69	Crossbow		5	5000	lgld							sock		2	2	tinkerflag2		25	35	dmg-pois	75	102	102	dex		20	20	pierce		50	50	att		50	50	dmg%		50	50	swing2		20	20																		0
Hellcast	69	0	1			0	1	36	18	p70	Heavy Crossbow		5	5000	dgld							sock		2	2	tinkerflag2		25	35	explosivearrow		5	5	res-fire-max		15	15	res-fire		15	15	att		70	70	swing2		20	20	dmg%		70	80	dmg-fire		15	35														0
Doomspittle	70	0	1			0	1	38	19	p71	Repeating Crossbow		5	5000	lpur							sock		2	2	tinkerflag2		25	35	ama		1	1	pierce		35	35	swing3		30	30	hp		15	15	dmg%		60	100																						0
War Bonnet	71	0	1			0	1	4	2	2ap	Cap		5	5000	dpur							sock		2	2	tinkerflag2		25	35	hp		15	15	att		30	30	dmg%		30	30	mana		15	15	ac		14	14																						0
Tarnhelm	72	0	1			0	1	20	13	2kp	Skull Cap		5	5000	oran	oran						sock		2	2	tinkerflag2		25	35	gold%		75	75	mag%		25	50	allskills		1	1																														0
Coif of Glory	73	0	1			0	1	19	9	2lm	Helm		5	5000	whit							sock		2	2	tinkerflag2		25	35	light-thorns		7	7	stupidity		1	1	res-ltng		15	15	ac-miss		100	100	ac		10	10																						0
Duskdeep	74	0	1			0	1	23	11	2hl	Full Helm		5	5000	lgry							sock		2	2	tinkerflag2		25	35	light		-2	-2	res-all		15	15	red-dmg		7	7	dmg-max		8	8	ac		10	20	ac%		30	50																		0
Wormskull	75	0	1			0	1	28	14	2h9	Bone Helm		5	5000	lgrn							sock		2	2	tinkerflag2		25	35	nec		1	1	lifesteal		5	5	mana		10	10	res-pois		25	25	dmg-pois	200	102	102																						0
Howltusk	76	0	1			0	1	34	17	2hm	Great Helm		5	5000	dgry	dgry						sock		2	2	tinkerflag2		25	35	red-mag		2	2	thorns		3	3	ac%		80	80	dmg-to-mana		35	35	knock		1	1	howl		33	33																		0
Undead Crown	77	0	1			0	1	39	20	2rn	Crown		5	5000	blac	blac						sock		2	2	tinkerflag2		25	35	lifesteal		5	5	ac		40	40	res-pois		50	50	half-freeze		1	1	ac%		30	60	dmg-undead		50	50	att-undead		50	100	skill	Skeleton Mastery	3	3										0
The Face of Horror	78	0	1			0	1	27	14	2sk	Mask		5	5000	lblu	lblu						sock		2	2	tinkerflag2		25	35	howl		64	64	str		20	20	res-all		10	10	dmg-undead		50	50	ac		25	25																						0
Greyform	79	0	1			0	1	10	4	2ui	Quilted Armor		5	5000	lgry	lgry						sock		2	2	tinkerflag2		25	35	red-mag		3	3	res-cold		20	20	res-fire		20	20	dex		10	10	lifesteal		5	5	ac		20	20																		0
Blinkbats Form	80	0	1			0	1	16	8	2ea	Leather Armor		5	5000	dred	dred						sock		2	2	tinkerflag2		25	35	ac-miss		50	50	move2		10	10	ac		25	25	fire-min		3	3	fire-max		6	6	balance2		40	40																		0
The Centurion	81	0	1			0	1	19	9	2la	Hard Leather		5	5000	cred	cred						sock		2	2	tinkerflag2		25	35	ac		30	30	att		50	50	red-dmg		2	2	hp		15	15	mana		15	15	stam		15	15	regen		5	5	stamdrain		25	25										0
Twitchthroe	82	0	1			0	1	22	11	2tu	Studded Leather		5	5000	lgrn	lgrn						sock		2	2	tinkerflag2		25	35	swing2		20	20	dex		10	10	block		25	25	ac		25	25	str		10	10	balance2		20	20																		0
Darkglow	83	0	1			0	1	19	9	2ng	Ring Mail		5	5000	dgrn	dgrn						sock		2	2	tinkerflag2		25	35	att		20	20	res-all-max		5	5	light		3	3	ac-hth		50	50	res-all		10	10	ac%		70	100																		0
Hawkmail	84	0	1			0	1	20	10	2cl	Scale Mail		5	5000	cgrn	cgrn						sock		2	2	tinkerflag2		25	35	ac%		80	100	res-cold-max		15	15	res-cold		15	15	nofreeze		1	1	move2		10	10																						0
Sparking Mail	85	0	1			0	1	23	11	2hn	Chain Mail		5	5000	lyel	lyel						sock		2	2	tinkerflag2		25	35	ac%		75	85	dmg-ltng		1	20	light-thorns		10	14	res-ltng		30	30																										0
Venomsward	86	0	1			0	1	27	14	2rs	Breast Plate		5	5000	dyel	dyel						sock		2	2	tinkerflag2		25	35	res-pois-max		15	15	res-pois-len		50	50	res-pois		90	90	light		2	2	ac%		60	100																						0
Iceblink	87	0	1			0	1	30	15	2pl	Splint Mail		5	5000	lgld	lgld						sock		2	2	tinkerflag2		25	35	freeze		1	1	res-cold		30	30	light		4	4	red-mag		1	1	ac%		70	80																						0
Boneflesh	88	0	1			0	1	35	18	2lt	Plate Mail		5	5000	dgld	dgld						sock		2	2	tinkerflag2		25	35	lifesteal		5	5	ac%		100	120	att		35	35	openwounds		25	25																										0
Rockfleece	89	0	1			0	1	38	19	2ld	Field Plate		5	5000	dgry	dgry						sock		2	2	tinkerflag2		25	35	ease		-10	-10	ac%		100	130	red-dmg%		10	10	red-dmg		5	5	str		5	5																						0
Rattlecage	90	0	1			0	1	39	20	2th	Gothic Plate		5	5000	dpur	dpur						sock		2	2	tinkerflag2		25	35	howl		52	52	att		45	45	crush		25	25	ac		200	200																										0
Goldskin	91	0	1			0	1	38	24	2ul	Full Plate Mail		5	5000	oran							sock		2	2	tinkerflag2		25	35	ac%		120	150	res-all		35	35	thorns		10	10	light		2	2	gold%		100	100																						0
Victors Silk	92	0	1			0	1	38	24	2ar	AncientArmor		5	5000	dblu							sock		2	2	tinkerflag2		25	35	manasteal		5	5	allskills		1	1	light		2	2	ac%		100	120																										0
Heavenly Garb	93	0	1			0	1	39	20	2tp	Light Plate		5	5000	cblu	cblu						sock		2	2	tinkerflag2		25	35	ac%		100	100	res-all		10	10	regen-mana		25	25	enr		15	15	dmg-undead		50	50	att-undead		100	100																		0
Pelta Lunata	94	0	1			0	1	3	1	2uc	Buckler		5	5000	whit							sock		2	2	tinkerflag2		25	35	ac		30	30	vit		10	10	str		2	2	enr		10	10	ac%		30	40	block		20	20	block2		40	40	dur		8	12										0
Umbral Disk	95	0	1			0	1	12	6	2ml	Small Shield		5	5000	lgry							sock		2	2	tinkerflag2		25	35	stupidity		1	1	dex		10	10	ac		30	30	hp		20	20	light		-2	-2	ac%		40	50	block		30	30	dur		10	15										0
Stormguild	96	0	1			0	1	18	9	2rg	Large Shield		5	5000	dgry							sock		2	2	tinkerflag2		25	35	red-mag		1	1	res-ltng		25	25	ac		30	30	dmg-ltng		1	6	ac%		50	60	block		30	30	light-thorns		3	3	dur		10	15										0
Wall of the Eyeless	97	0	1			0	1	27	14	2sh	Bone Shield		5	5000	lgld							sock		2	2	tinkerflag2		25	35	mana-kill		5	5	manasteal		3	3	cast2		20	20	res-pois		20	20	ac%		30	40	ac		10	10																		0
Swordback Hold	98	0	1			0	1	20	10	2pk	Spiked Shield		5	5000	lred							sock		2	2	tinkerflag2		25	35	thorns		5	5	block		20	20	openwounds		50	50	bloody		3	5	ac%		30	60	thorns		5	5	ac		10	10														0
Steelclash	99	0	1			0	1	23	11	2it	Kite Shield		5	5000	blac							sock		2	2	tinkerflag2		25	35	block		25	25	pal		1	1	red-dmg		3	3	light		3	3	ac%		60	100	block2		20	20	res-all		15	15	ac		20	20	dur		15	20						0
Bverrit Keep	100	0	1			0	1	26	13	2ow	Tower Shield		5	5000	lblu							sock		2	2	tinkerflag2		25	35	ac		30	30	res-fire		75	75	str		5	5	red-mag		5	5	ac%		80	120	block		10	10	dur		80	100														0
The Ward	101	0	1			0	1	35	18	2ts	Gothic Shield		5	5000	dblu							sock		2	2	tinkerflag2		25	35	ac		40	40	red-mag		2	2	str		10	10	block		10	10	ac%		100	100	res-all		30	50																		0
The Hand of Broc	102	0	1			0	1	7	3	2lg	Gloves		5	5000	cblu	cblu						sock		1	1	tinkerflag2		25	35	manasteal		3	3	lifesteal		3	3	res-pois		10	10	mana		20	20	ac		10	10	ac%		10	20																		0
Bloodfist	103	0	1			0	1	12	6	2vg	Heavy Gloves		5	5000	oran	oran						sock		1	1	tinkerflag2		25	35	dmg-min		5	5	hp		40	40	balance2		30	30	ac		10	10	ac%		10	20	swing2		10	10																		0
Chance Guards	104	0	1			0	1	20	13	2mg	Bracers		5	5000	lred	lred						sock		1	1	tinkerflag2		25	35	gold%		200	200	mag%		25	40	att		25	25	ac		15	15	light		2	2	ac%		20	30																		0
Magefist	105	0	1			0	1	31	20	2tg	Light Gauntlets		5	5000	lgry	lgry						sock		1	1	tinkerflag2		25	35	cast3		20	20	regen-mana		25	25	fireskill		1	1	dmg-fire		1	6	ac		10	10	ac%		20	30																		0
Frostburn	106	0	1			0	1	39	25	2hg	Gauntlets		5	5000	dred	dred						sock		1	1	tinkerflag2		25	35	ac		30	30	dmg%		5	5	mana%		40	40	dmg-cold	50	1	6	ac%		10	20																						0
Hotspur	107	0	1			0	1	7	3	2lb	Leather Boots		5	5000	cred	cred						sock		1	1	tinkerflag2		25	35	res-fire-max		15	15	hp		15	15	dmg-fire		3	6	ac		6	6	res-fire		45	45	ac%		10	20																		0
Gorefoot	108	0	1			0	1	12	6	2vb	Heavy Boots		5	5000	dblu	dblu						sock		1	1	tinkerflag2		25	35	bloody		3	5	move2		20	20	manasteal		2	2	thorns		2	2	ac		12	12	ac%		20	30	skill	Leap	2	2														0
Treads of Cthon	109	0	1			0	1	20	10	2mb	Chain Boots		5	5000	lgrn	lgrn						sock		1	1	tinkerflag2		25	35	move2		30	30	ac-miss		50	50	stamdrain		50	50	hp		10	10	ac		12	12	ac%		30	40																		0
Goblin Toe	110	0	1			0	1	30	19	2tb	Light Plate Boots		5	5000	dgry	dgry						sock		1	1	tinkerflag2		25	35	crush		25	25	red-dmg		1	1	red-mag		1	1	ac		15	15	light		-1	-1	ac%		50	60																		0
Tearhaunch	111	0	1			0	1	39	20	2hb	Plate Boots		5	5000	dgrn	dgrn						sock		1	1	tinkerflag2		25	35	ac		35	35	str		5	5	dex		5	5	move2		20	20	res-all		10	10	ac%		60	80	skill	Vigor	2	2														0
Lenyms Cord	112	0	1			0	1	10	4	3lb	Sash		5	5000	cgrn	cgrn						sock		1	1	tinkerflag2		25	35	mana		15	15	regen-mana		30	30	res-all		5	5	light		1	1																										0
Snakecord	113	0	1			0	1	16	8	3vb	Light Belt		5	5000	blac	blac						sock		1	1	tinkerflag2		25	35	dmg-pois	75	40	40	res-pois		25	25	ac		10	10	ac%		20	30	regen		5	5	res-pois-len		50	50																		0
Nightsmoke	114	0	1			0	1	27	14	3mb	Belt		5	5000	lyel	lyel						sock		1	1	tinkerflag2		25	35	res-all		10	10	dmg-to-mana		50	50	mana		20	20	red-dmg		2	2	ac		15	15	ac%		30	50																		0
Goldwrap	115	0	1			0	1	36	18	3tb	Heavy Belt		5	5000	lblu	lblu						sock		1	1	tinkerflag2		25	35	mag%		30	30	light		2	2	ac		25	25	swing2		10	10	ac%		40	60	gold%		50	80																		0
