skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	item proc text	item proc descline count	*eol
jab	3	1	3	3	8	5	skillname10	skillsd10	skillld10	skillan10	7	clc1											1				2	StrSkill4	StrSkill23	clc1		74	StrSkill10	StrSkill23	toht																						1	StrSkill3				25	StrSkill61														40	Sksyn	skillname10	2		76	Damplev	skillname14	par8		76	Damplev	skillname30	par8		76	Damplev	skillname19	par8		76	Damplev	skillname34	par8		76	Damplev	skillname24	par8							1							0
cold arrow	1	1	3	1	10	3	skillname11	skillsd11	skillld11	skillan11	5												1				1	StrSkill3				75	StrSkill6		edmn	edmx	74	StrSkill10	StrSkill23	toht		18	StrSkill150				66	Convphy2magalt		3+(lvl-1)*2																											40	Sksyn	skillname11	2		76	Colddplev	skillname6	par8		76	Colddplev	skillname31	par8		76	Colddplev	skillname7	par8		76	Colddplev	Skillname366	par8																			0
multiple shot	1	2	1	1	12		skillname12	skillsd12	skillld12	skillan12	5												1				1	StrSkill3				7	StrSkill231		clc3		7	StrSkill205		clc1		75	StrSkill4		pnma	pxma											18	StrSkill230				74	WeapDamsk		75																																															18	StrSkill230						0
dodge	2	3	3	2	14		skillname13	skillsd13	skillld13	skillan13																	74	StrSkill24		pst1																											18	StrSkill263				18	StrSkill269																																																	18	StrSkill263						0
power strike	3	1	2	3	16		skillname14	skillsd14	skillld14	skillan14	5												1				1	StrSkill3				75	StrSkill5		edmn	edmx	74	StrSkill10	StrSkill23	toht																																					40	Sksyn	skillname14	2		76	Firedplev	StrSkill226	par8		76	Firedplev	skillname19	par8		76	Firedplev	skillname34	par8		76	Firedplev	skillname24	par8		76	Firedplev	skillname15	par8		76	Firedplev	Skillname365	par8									0
poison javelin	3	2	3	3	18		skillname15	skillsd15	skillld15	skillan15	22												1				1	StrSkill3				75	StrSkill5		edmn	edmx	74	StrSkill10	StrSkill23	toht																																					40	Sksyn	skillname15	2		76	Firedplev	skillname10	par8		76	Firedplev	skillname20	par8		76	Firedplev	skillname25	par8		76	Firedplev	skillname35	par8		76	Firedplev	skillname14	par8		76	Firedplev	Skillname365	par8									0
exploding arrow	1	2	2	1	20	2	skillname16	skillsd16	skillld16	skillan16	6												1				1	StrSkill3				75	StrSkill5		edmn	edmx	74	StrSkill10	StrSkill23	toht																																					40	Sksyn	skillname16	2		76	Firedplev	skillname6	par8		76	Firedplev	skillname27	par8		76	Firedplev	skillname21	par8		76	Firedplev	Skillname365	par8																			0
slow missiles	2	3	1	2	22		skillname17	skillsd17	skillld17	skillan17																	36	StrSkill20		len	25																										1	StrSkill3				36	StrSkill18		rng*2	3	74	StrSkill67	StrSkill23	ast1																																										1							0
avoid	2	2	3	2	46		skillname18	skillsd18	skillld18	skillan18																	4	StrSkill21		pst1																											18	StrSkill284				18	StrSkill256														40	Sksyn	skillname18	2		76	DefDAEplev	skillname13	par8		76	DefDAEplev	skillname29	par8																						18	StrSkill284						0
impale	3	3	2	3	26		skillname19	skillsd19	skillld19	skillan19	5																1	StrSkill3				36	StrSkill63		edln	25	75	StrSkill8		edns*edln/256	edxs*edln/256	75	StrSkill4		pnma	pxma	74	StrSkill72s		clc1																											40	Sksyn	skillname19	2		76	Alldplev	skillname10	par8		76	Alldplev	skillname14	par8		76	Alldplev	skillname30	par8		76	Alldplev	skillname34	par8		76	Alldplev	skillname24	par8		76	Alldplev	skillname25	par8									0
lightning bolt	3	5	3	3	28		skillname20	skillsd20	skillld20	skillan20	3																1	StrSkill3				36	StrSkill13		edln	25	75	StrSkill6		edmn	edmx																																				40	Sksyn	skillname20	2		76	Colddplev	skillname10	par8		76	Colddplev	skillname15	par8		76	Colddplev	skillname25	par8		76	Colddplev	skillname35	par8		76	Colddplev	Skillname366	par8														0
ice arrow	1	6	2	1	30		skillname21	skillsd21	skillld21	skillan21	5												1				1	StrSkill3				75	StrSkill7		edmn	edmx	74	StrSkill72b		clc1																																					40	Sksyn	skillname21	2		76	Ltngdplev	skillname6	par8		76	Ltngdplev	skillname27	par8		76	Ltngdplev	skillname16	par8																								0
guided arrow	1	4	1	1	32		skillname22	skillsd22	skillld22	skillan22	7	clc1															1	StrSkill3				74	StrSkill4D	StrSkill23	clc1																																										40	Sksyn	skillname22	2		76	Damplev	skillname6	par8		76	Damplev	skillname12	par8		76	Damplev	Skillname363	par8		76	Damplev	skillname26	par8																			0
penetrate	2	4	3	2	34		skillname23	skillsd23	skillld23	skillan23																	74	StrSkill10	StrSkill23	pst1																																																																																									0
charged strike	3	6	2	3	36		skillname24	skillsd24	skillld24	skillan24	17																1	StrSkill3				75	StrSkill39		edmn	edmx	9					74	StrSkill72s		clc1																																40	Sksyn	skillname24	2		76	Magdplev	skillname10	par8		76	Magdplev	skillname14	par8		76	Magdplev	skillname30	par8		76	Magdplev	skillname19	par8		76	Magdplev	skillname34	par8														0
plague javelin	3	3	3	3	38		skillname25	skillsd25	skillld25	skillan25	22												1				1	StrSkill3				36	StrSkill63		edln	25	75	StrSkill8		edns*edln/256	edxs*edln/256																																				40	Sksyn	skillname25	2		76	Poisdplev	skillname10	par8		76	Poisdplev	skillname15	par8		76	Poisdplev	skillname20	par8		76	Poisdplev	skillname35	par8		76	Poisdplev	skillname19	par8														0
strafe	1	6	1	1	40		skillname26	skillsd26	skillld26	skillan26	7	clc2											1				74	StrSkill4D	StrSkill23	clc2		74	StrSkill86		clc1																						1	StrSkill3				74	WeapDamsk		75												40	Sksyn	skillname26	2		76	Damplev	skillname6	par8		76	Damplev	skillname12	par8		76	Damplev	skillname22	par8		76	Damplev	Skillname363	par8												1							0
immolation arrow	1	4	2	1	42		skillname27	skillsd27	skillld27	skillan27	6												1	immolationfire			1	StrSkill3				75	StrSkillFireDamageAveragePerSecond		edmn*7/12	edmx*7/12	36	StrSkill82		miss('immolationfire'.range)	25	75	StrSkill83		edmn	edmx																															40	Sksyn	skillname27	2		76	Firedplev	skillname6	par8		76	Firedplev	skillname16	par8		76	Firedplev	skillname21	par8		76	Firedplev	Skillname365	par8																			0
dopplezon	2	4	1	2	44		skillname28	skillsd28	skillld28	skillan28																	1	StrSkill3				36	StrSkill20		clc2	25	74	StrSkill54	StrSkill23	ast1		74	StrSkill42cl		clc3*(100+clc1)/100																																40	Sksyn	skillname28	2		76	Hpplev	skillname32	par8																																		0
evade	2	1	1	2	70		skillname29	skillsd29	skillld29	skillan29																	74	Cgslow	StrSkill23	-ast1																											1	StrSkill3				36	StrSkill20		len	25	18	StrSkill227				36	StrSkill18		rng*2	3	40	Sksyn	skillname29	2		25	skillname8	012secplev			76	Slowfrwplev	skillname17	par8																						1							0
fend	3	2	1	3	48		skillname30	skillsd30	skillld30	skillan30	7	clc2											1				74	StrSkill4D	StrSkill23	clc2		74	StrSkill10	StrSkill23	toht																						1	StrSkill3																			40	Sksyn	skillname30	2		76	Damplev	skillname10	par8		76	Damplev	skillname14	par8		76	Damplev	skillname19	par8		76	Damplev	skillname34	par8		76	Damplev	skillname24	par8							1							0
freezing arrow	1	5	3	1	50	4	skillname31	skillsd31	skillld31	skillan31	6												1				1	StrSkill3				36	StrSkill62		edln	25	75	StrSkill6		edmn	edmx																36	StrSkill18		clc1																	40	Sksyn	skillname31	2		76	Colddplev	skillname6	par8		76	Colddplev	skillname11	par8		76	Colddplev	skillname7	par8		76	Colddplev	Skillname366	par8		76	FrezLenplev	skillname11	par7		76	FrezLenplev	Skillname366	par7		19	StrSkill18		clc1				0
valkyrie	2	6	1	2	52		skillname32	skillsd32	skillld32	skillan32																	1	StrSkill3				74	StrSkill54	StrSkill23	ast3		4	StrSkill208		toht		74	StrSkill4D	StrSkill23	ast1		74	StrSkill31	StrSkill23	pst1		13	StrSkill42		clc1		5	StrSkill156		min(ln56-par6,99)		18	StrSkill157				5	ESkillValk		pets							40	Sksyn	skillname32	2		25	skillname28	Valkplev			76	StrSkillAttackRatingPerLevelFlat		40		25	skillname9				25	skillname18				25	skillname13									5	StrSkill156		min(ln56-par6,99)				0
pierce	2	6	3	2	54		skillname33	skillsd33	skillld33	skillan33																	74	StrSkill24		pst1																																																																																									0
lightning strike	3	5	2	3	56		skillname34	skillsd34	skillld34	skillan34	17																75	StrSkill7		edmn	edmx	74	StrSkill11		clc2																						1	StrSkill3																			40	Sksyn	skillname34	2		76	Ltngdplev	skillname10	par8		76	Ltngdplev	skillname14	par8		76	Ltngdplev	skillname30	par8		76	Ltngdplev	skillname19	par8		76	Ltngdplev	skillname24	par8		76	Ltngdplev	skillname35	par8		1							0
lightning fury	3	6	3	3	58		skillname35	skillsd35	skillld35	skillan35	22																1	StrSkill3				75	StrSkill7		edmn	edmx	74	StrSkill72b		clc1																																					40	Sksyn	skillname35	2		76	Ltngdplev	skillname10	par8		76	Ltngdplev	skillname15	par8		76	Ltngdplev	skillname20	par8		76	Ltngdplev	skillname25	par8		76	Ltngdplev	skillname34	par8														0
fire bolt	1	1	3	1	0	13	skillname36	skillsd36	skillld36	skillan36	5																1	StrSkill3				11					10					74	StrSkill10	StrSkill23	toht												7	StrSkill205		clc1		18	StrSkill286				18	StrSkill266									40	Sksyn	skillname36	2		76	Firedplev	skillname47	par8		76	Firedplev	skillname56	par8		76	Firedplev	skillname48	par8																	7	StrSkill205		clc1				0
warmth	3	1	1	3	2		skillname37	skillsd37	skillld37	skillan37																	74	StrSkill23		pst1																																																																																									0
charged bolt	2	1	2	2	4	19	skillname38	skillsd38	skillld38	skillan38	5																1	StrSkill3				10					7	StrSkill27		clc1																																					40	Sksyn	skillname38	2		76	Ltngdplev	skillname49	par8		76	Ltngdplev	skillname41	par8		76	Ltngdplev	skillname62	par8		76	Ltngdplev	skillname53	par8																			0
ice bolt	3	1	2	3	6		skillname39	skillsd39	skillld39	skillan39	5																1	StrSkill3				11					10					9															7	StrSkill205		clc1		18	StrSkill286				18	StrSkill266									40	Sksyn	skillname39	2		76	Colddplev	skillname45	par8		76	Colddplev	skillname55	par8		76	Colddplev	skillname59	par8		76	Colddplev	skillname44	par8		76	Colddplev	skillname64	par8		76	CoLenplev	StrEach	par7		7	StrSkill205		clc1				0
frozen armor	2	1	3	2	8	18	skillname40	skillsd40	skillld40	skillan40																	1	StrSkill3				36	StrSkill20		len	25	12	StrSkill62		clc1		74	StrSkill31	StrSkill23	ast1												18	StrSkill284				74	StrSkill190	StrSkill23	ast3		74	StrSkill224	StrSkill23	-ast2		18	StrSkill232				40	Sksyn	skillname40	2		76	Secplev2	skillname50	par7/25		76	Secplev2	skillname60	par7/25		76	Defplev	skillname50	par8		76	Defplev	skillname60	par8		25	Skillname369	StrSkill258								18	StrSkill284						0
inferno	2	3	3	2	10	12	skillname41	skillsd41	skillld41	skillan41	8																3	StrSkill3	StrSkill34	mps		19	StrSkill56		rng+2		18	StrSkill238				11					26										5	StrSkill115		par3																	40	Sksyn	skillname41	2		76	Ltngdplev	skillname38	par8		76	Ltngdplev	skillname49	par8		76	Ltngdplev	skillname62	par8		76	Ltngdplev	skillname53	par8												5	StrSkill115		par3				0
static field	2	4	1	2	12	21	skillname42	skillsd42	skillxld42	skillan42																	19	StrSkill18		rng																											1	StrSkill3				74	StrSkill33	StrSkill23	clc1																																															1							0
telekinesis	2	3	1	2	14		skillname43	skillsd43	skillld43	skillan43	5																1	StrSkill3				10																																													40	Sksyn	skillname43	2		76	Ltngdplev	skillname54	par8		76	Ltngdplev	skillname42	par8		76	Ltngdplev	skillname58	par8																								0
frost nova	3	5	2	3	16		skillname44	skillsd44	skillld44	skillan44	5																1	StrSkill3				36	StrSkill13		edln	25	75	StrSkill6		edmn	edmx																																				40	Sksyn	skillname44	2		76	Colddplev	skillname39	par8		76	Colddplev	skillname45	par8		76	Colddplev	skillname55	par8		76	Colddplev	skillname59	par8		76	Colddplev	skillname64	par8		76	CoLenplev	StrEach	par7									0
ice blast	3	4	3	3	18	16	skillname45	skillsd45	skillld45	skillan45	5																1	StrSkill3				36	StrSkill62		edln		10																																								40	Sksyn	skillname45	2		76	Colddplev	skillname39	par8		76	Colddplev	skillname55	par8		76	Colddplev	skillname59	par8		76	Colddplev	skillname44	par8		76	Colddplev	skillname64	par8		76	FrezLenplev	StrEach	par7									0
blaze	1	1	1	1	20		skillname46	skillsd46	skillld46	skillan46	9													blaze			1	StrSkill3				27					23	StrSkill82																																							40	Sksyn	skillname46	2		76	Firedplev	Skillname370	par8		76	Firedplev	skillname51	par8		76	Firedplev	skillname48	par8																								0
fire ball	1	3	3	1	22	14	skillname47	skillsd47	skillld47	skillan47	5													fireball			1	StrSkill3				11					10					9					74	StrSkill10	StrSkill23	toht							28																				40	Sksyn	skillname47	2		76	Firedplev	skillname36	par8		76	Firedplev	skillname56	par8		76	Firedplev	skillname48	par8																	28							0
nova	1	5	1	1	24		skillname48	skillsd48	skillld48	skillan48	5																1	StrSkill3				10																																													40	Sksyn	skillname48	2		76	Firedplev	skillname46	par8		76	Firedplev	Skillname370	par8		76	Firedplev	skillname51	par8		76	Firedplev	skillname36	par8		76	Firedplev	skillname47	par8		76	Firedplev	skillname56	par8									0
lightning	2	2	3	2	26	20	skillname49	skillsd49	skillld49	skillan49	5																1	StrSkill3				11					10					9					74	StrSkill10	StrSkill23	toht																											40	Sksyn	skillname49	2		76	Ltngdplev	skillname38	par8		76	Ltngdplev	skillname41	par8		76	Ltngdplev	skillname62	par8		76	Ltngdplev	skillname53	par8																			0
shiver armor	1	1	2	1	28		skillname50	skillsd50	skillld50	skillan50	5																1	StrSkill3				36	StrSkill20		len	25	10					74	StrSkill31	StrSkill23	ast1												18	StrSkill284				74	StrSkill188	StrSkill23	ast3		74	StrSkill220	StrSkill23	-ast2		18	StrSkill232				40	Sksyn	skillname50	2		76	Secplev2	skillname40	par7/25		76	Secplev2	skillname60	par7/25		76	Defplev	skillname40	par8		76	Defplev	skillname60	par8		25	Skillname369	StrSkill257								18	StrSkill284						0
fire wall	1	4	1	1	30		skillname51	skillsd51	skillld51	skillan51	5													fire wave maker			1	StrSkill3				10																																													40	Sksyn	skillname51	2		76	Firedplev	skillname46	par8		76	Firedplev	Skillname370	par8		76	Firedplev	skillname48	par8																								0
enchant	1	2	2	1	32	15	skillname52	skillsd52	skillld52	skillan52																	1	StrSkill3				74	StrSkill10	StrSkill23	toht		10					36	StrSkill20		len	25																															40	Sksyn	skillname52	2		76	Firedplev	skillname57	par8		76	Firedplev	Skillname368	par8																													0
chain lightning	2	6	3	2	34		skillname53	skillsd53	skillld53	skillan53	5																1	StrSkill3				10					7	StrSkill11		clc1																																					40	Sksyn	skillname53	2		76	Ltngdplev	skillname38	par8		76	Ltngdplev	skillname49	par8		76	Ltngdplev	skillname41	par8		76	Ltngdplev	skillname62	par8																			0
teleport	2	1	1	2	36		skillname54	skillsd54	skillld54	skillan54																	1	StrSkill3																																																																																											0
glacial spike	3	3	2	3	38	17	skillname55	skillsd55	skillld55	skillan55	5																1	StrSkill3				36	StrSkill62		len	25	10																				19	StrSkill18		rng																	40	Sksyn	skillname55	2		76	Colddplev	skillname39	par8		76	Colddplev	skillname45	par8		76	Colddplev	skillname59	par8		76	Colddplev	skillname44	par8		76	Colddplev	skillname64	par8		76	FrezLenplev	skillname59	par7		19	StrSkill18		rng				0
meteor	1	4	3	1	40		skillname56	skillsd56	skillld56	skillan56	5													meteorfire			1	StrSkill3				22					9					10															19	StrSkill18		clc1																	40	Sksyn	skillname56	2		76	Firedplev	skillname36	par8		76	Firedplev	skillname47	par8		76	Firedplev	skillname48	par8		76	AFDImm	skillname36	5		76	AFDImm	skillname47	5		76	AFDImm	skillname48	5		19	StrSkill18		clc1				0
thunder storm	1	6	3	1	42		skillname57	skillsd57	skillld57	skillan57	5																1	StrSkill3				9					10					36	StrSkill20		len	25																															40	Sksyn	skillname57	2		76	Firedplev	skillname52	par8		76	Firedplev	Skillname368	par8																													0
energy shield	2	4	2	2	44		skillname58	skillsd58	skillld58	skillan58																	74	StrSkill40	StrSkill23	clc1		36	StrSkill20		len	25	74	StrSkill163	StrSkill23	max(75,par5-blvl*par7-(skill('Telekinesis'.blvl)+skill('Teleport'.blvl)+skill('Static Field'.blvl))*par8)																	1	StrSkill3				18	StrSkill252														40	Sksyn	skillname58	2		76	Dmmnplev	skillname54	par8		76	Dmmnplev	skillname43	par8		76	Dmmnplev	skillname42	par8																	1							0
blizzard	3	4	1	3	46		skillname59	skillsd59	skillld59	skillan59	5													blizzardcenter			1	StrSkill3				11					10																				23	StrSkill20																			40	Sksyn	skillname59	2		76	Colddplev	skillname39	par8		76	Colddplev	skillname45	par8		76	Colddplev	skillname55	par8		76	Colddplev	skillname44	par8		76	Colddplev	skillname64	par8		76	CoLenplev	StrEach	par7		23	StrSkill20						0
chilling armor	3	1	3	3	48	25	skillname60	skillsd60	skillld60	skillan60	5																1	StrSkill3				36	StrSkill20		len	25	11					10					74	StrSkill31	StrSkill23	ast1							18	StrSkill284				74	StrSkill189	StrSkill23	ast3		74	StrSkill223	StrSkill23	-ast2		18	StrSkill232				40	Sksyn	skillname60	2		76	Secplev2	skillname40	par7/25		76	Secplev2	skillname50	par7/25		76	Defplev	skillname40	par8		76	Defplev	skillname50	par8		25	Skillname369	StrSkill259								18	StrSkill284						0
fire mastery	1	6	2	1	50		skillsname61	skillsd61	skillld61	skillan61																	74	StrSkill5	StrSkill23	pst1																											18	StrSkill265																																																						18	StrSkill265						0
hydra	2	5	3	2	52		skillname62	skillsd62	skillld62	skillan62	5																1	StrSkill3				12	StrSkill20		ln12		24	StrSkill182																																							40	Sksyn	skillname62	2		76	Ltngdplev	skillname38	par8		76	Ltngdplev	skillname49	par8		76	Ltngdplev	skillname41	par8		76	Ltngdplev	skillname53	par8																			0
lightning mastery	2	6	2	2	54		skillname63	skillxsd63	skillld63	skillan63																	74	StrSkill7	StrSkill23	pst1																											18	StrSkill265																																																						18	StrSkill265						0
frozen orb	3	6	1	3	56		skillname64	skillsd64	skillld64	skillan64	5																1	StrSkill3				11					10					9					74	StrSkill10	StrSkill23	toht																											40	Sksyn	skillname64	2		76	Colddplev	skillname39	par8		76	Colddplev	skillname45	par8		76	Colddplev	skillname55	par8		76	Colddplev	skillname59	par8		76	Colddplev	skillname44	par8		76	CoLenplev	StrEach	par7									0
cold mastery	3	6	2	3	58		skillname65	skillsd65	skillld65	skillan65																	74	StrSkill6	StrSkill23	pst1																											18	StrSkill265																																																						18	StrSkill265						0
amplify damage	1	2	1	1	0		skillname66	skillsd66	skillld66	skillan66																	36	StrSkill20		len	25	19	StrSkill18		rng																						1	StrSkill3				74	StrSkill151	StrSkill23	ast1												40	Sksyn	skillname66	2		76	Secplev2	skillname76	par7/25		76	Secplev2	skillname87	par7/25		76	Secplev2	skillname82	par7/25																	1							0
teeth	2	5	3	2	2		skillname67	skillsd67	skillld67	skillan67	5																1	StrSkill3				10					7	StrSkill205		clc1																																					40	Sksyn	skillname67	2		76	Magdplev	skillname78	par8		76	Magdplev	skillname84	par8		76	Magdplev	skillname88	par8		76	Magdplev	skillname93	par8		76	Magdplev	Skillname374	par8														0
bone armor	2	1	1	2	4		skillname68	skillsd68	skillld68	skillan68																	1	StrSkill3				5	StrSkill21		ast1/256		3	StrSkill40	StrSkill41	edmn*(100+clc4)/100																	2	StrSkill162	StrSkill23	ast4		18	StrSkill282				18	StrSkill284									40	Sksyn	skillname68	2		76	Damabsplev	skillname73	par7		76	Damabsplev	Skillname373	par7		76	Damabsplev	StrSkill261	par8		76	Damabsplev	StrSkill262	par8												2	StrSkill162	StrSkill23	ast4				0
skeleton mastery	3	1	1	3	6		skillname69	skillsd69	skillld69	skillan69																	32	StrSkill97	StrSkill4	lvl*par4		32	StrSkill97	StrSkill42	lvl*par3		70	StrSkill201	StrSkill208	lvl*par6		70	StrSkill201	StrSkill4	lvl*par2		70	StrSkill201	StrSkill21	lvl*par5		70	StrSkill201	StrSkill42	lvl*par1		70	StrSkill200	StrSkill228	lvl-1																																																				70	StrSkill200	StrSkill228	lvl-1				0
raise skeleton	3	3	3	3	8		skillname70	skillsd70	skillld70	skillan70																	1	StrSkill3				36	StrSkill94	StrSkill44	pets		5	StrSkill208		5+ast2		34					5	StrSkill21		5+ast3		13	StrSkill42		clc1	pst1/256																					40	Sksyn	skillname70	2		18	skillname69				18	skillname89				76	Hpplev	StrSkill203	skill('Skeleton Mastery'.par1)		76	Defplev	StrSkill203	skill('Skeleton Mastery'.par5)		76	Damplev	StrSkill203	skill('Skeleton Mastery'.par2)		76	AttRateplev	StrSkill203	skill('Skeleton Mastery'.par6)									0
dim vision	1	2	2	1	10		skillname71	skillsd71	skillld71	skillan71																	36	StrSkill20		len	25	19	StrSkill18		rng																						1	StrSkill3																			40	Sksyn	skillname71	2		76	Secplev2	skillname72	par8/25		76	Secplev2	skillname87	par8/25		76	Secplev2	skillname91	par8/25																	1							0
weaken	1	1	1	1	12		skillname72	skillsd72	skillld72	skillan72																	36	StrSkill20		len	25	19	StrSkill18		rng																						1	StrSkill3				74	StrSkill38	StrSkill23	ast1		74	StrSkill151	StrSkill23	ast2							40	Sksyn	skillname72	2		76	Secplev2	skillname71	par8/25		76	Secplev2	skillname87	par8/25		76	Secplev2	skillname91	par8/25		76	Damplev	skillname71	-par7		76	Damplev	skillname87	-par7		76	Damplev	skillname91	-par7		1							0
poison dagger	2	1	2	2	14		skillname73	skillsd73	skillld73	skillan73	5												1				1	StrSkill3				74	StrSkill10	StrSkill23	toht		75	StrSkill8		pnma*edln/16	pxma*edln/16																18	StrSkill270																			40	Sksyn	skillname73	2		76	Poisdplev	skillname68	par8		76	Poisdplev	skillname83	par8		76	Poisdplev	Skillname373	par8		76	Poisdplev	skillname92	par8												18	StrSkill270						0
corpse explosion	2	4	2	2	16		skillname74	skillsd74	skillld74	skillan74																	1	StrSkill3				37	StrSkill18		rng																						38	StrSkill4	StrSkill46	clc1	clc2																																																			38	StrSkill4	StrSkill46	clc1	clc2			0
